item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T6_ORE_LEVEL1@1,Bridgewatch,1,1992,2023-01-08T06:30:00,22739,2023-01-08T06:30:00,58,2023-01-08T06:30:00,1856,2023-01-08T06:30:00
T6_ORE_LEVEL1@1,Fort Sterling,1,1849,2023-01-08T11:25:00,1977,2023-01-08T11:25:00,45,2023-01-08T11:25:00,1807,2023-01-08T11:25:00
T6_ORE_LEVEL1@1,Lymhurst,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_ORE_LEVEL1@1,Martlock,1,1950,2023-01-08T17:45:00,1950,2023-01-08T17:45:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_ORE_LEVEL1@1,Thetford,1,1895,2023-01-08T19:10:00,1964,2023-01-08T19:10:00,900,2023-01-08T15:35:00,1870,2023-01-08T15:35:00
T6_ORE_LEVEL2@2,Bridgewatch,1,7288,2023-01-08T06:30:00,7395,2023-01-08T06:30:00,6122,2023-01-08T06:30:00,6454,2023-01-08T06:30:00
T6_ORE_LEVEL2@2,Fort Sterling,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_ORE_LEVEL2@2,Lymhurst,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_ORE_LEVEL2@2,Martlock,1,6805,2023-01-08T17:45:00,6805,2023-01-08T17:45:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_ORE_LEVEL2@2,Thetford,1,7681,2023-01-08T19:10:00,7955,2023-01-08T19:10:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_ORE_LEVEL3@3,Bridgewatch,1,17527,2023-01-08T19:45:00,17527,2023-01-08T19:45:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
